"No","Opening Date","Withdrawl Date","Days","Financial Year","Earnings.Type","Gross Earnings","Profit","Cut.Start","Cut.End"
141,24-Sep-09,13-Jan-12,841,2012,"S",0,-483706.1000,-227000.0000,-501000.0000
134,21-Oct-09,24-Jun-11,611,2011,"S",1500794,644668.0000,550000.0000,800000.0000
145,03-Nov-09,21-Jun-12,961,2012,"S",13004397,11473775.4600,11000000.0000,14000000.0000
133,17-Dec-09,02-May-11,501,2011,"S",1610475,1000000.0000,901000.0000,1000000.0000
136,19-Feb-10,26-Aug-11,553,2012,"W",559823,153960.0000,122000.0000,200000.0000
148,04-Mar-10,12-Jun-13,1196,2013,"S",12582148.97,8098242.4600,8000000.0000,9000000.0000
153,28-Apr-10,30-Jul-12,824,2012,"WD",0,-1411579.0800,-1000000.0000,-1500000.0000
150,04-May-10,18-May-12,745,2012,"S",1802749,-2012157.7100,-1533000.0000,-2012000.0000
140,11-May-10,11-Nov-11,549,2012,"S",45631,-168130.3900,-110000.0000,-196000.0000
131,24-May-10,09-Dec-10,199,2011,"S",1370767,1093895.0000,1109000.0000,1533000.0000
151,01-Jun-10,01-Feb-11,245,2011,"WD",0,-286.0200,0.0000,-20000.0000
144,05-Jul-10,20-Feb-12,595,2012,"S",1937788,1533680.4600,1109000.0000,1533000.0000
154,20-Jul-10,05-Nov-12,839,2013,"W",18580961.79,11164682.6500,11000000.0000,14000000.0000
138,11-Aug-10,19-Sep-11,404,2012,"S",7265000,6114935.7100,4700000.0000,6120000.0000
132,20-Sep-10,10-Jan-11,112,2011,"WD",7149,-7.5100,0.0000,-20000.0000
155,29-Sep-10,20-Dec-12,813,2013,"S",2782500,2182500.0000,2070000.0000,3000000.0000
146,01-Mar-11,05-Apr-12,401,2012,"WD",0,-30195.4600,-22000.0000,-42000.0000
139,09-May-11,04-Oct-11,148,2012,"S",4593529,3375065.5900,3370000.0000,4000000.0000
161,11-Oct-11,07-Feb-13,485,2013,"S",0,-398220.3700,-227000.0000,-501000.0000
149,12-Jan-12,20-Jun-12,160,2012,"WD",54464,-668.7800,0.0000,-20000.0000
164,21-Mar-12,20-Aug-13,517,2014,"S",5037387.64,2156243.5200,2070000.0000,3000000.0000
163,14-May-12,11-Apr-13,332,2013,"W",5593060.83,2914805.7700,2070000.0000,3000000.0000
165,01-Nov-12,19-Dec-13,413,2014,"S",0,-884764.1400,-884000.0000,-1000000.0000
162,23-Nov-12,22-Mar-13,119,2013,"WD",0,-257294.7900,-227000.0000,-501000.0000
